# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxNativeBytes,1776554012040000000,1776554072043000000,-1
JVM.GC.collectionTimesMs,1776554012040000000,1776554072043000000,61
JVM.usedHeapBytes,1776554012040000000,1776554072043000000,359657128
JVM.threadCount,1776554012040000000,1776554072043000000,138
OS.loadAverage,1776554012040000000,1776554072043000000,2.82470703125
JVM.maxHeapBytes,1776554012040000000,1776554072043000000,2147483648
JVM.usedNativeBytes,1776554012040000000,1776554072043000000,345903616
JVM.GC.collections,1776554012040000000,1776554072043000000,19
JVM.totalCpuTimeMs,1776554012040000000,1776554072043000000,28196
FlushQueue.waitingTimeAvgNs,1776554012040000000,1776554072043000000,3.356803515645864E7
FlushQueue.tasksExecuted,1776554012040000000,1776554072043000000,3445
AWTEventQueue.dispatchTimeMaxNs,1776554012040000000,1776554072043000000,312475647
FlushQueue.waitingTimeMaxNs,1776554012040000000,1776554072043000000,339738623
FlushQueue.queueSizeMax,1776554012040000000,1776554072043000000,139
FlushQueue.executionTimeAvgNs,1776554012040000000,1776554072043000000,523790.22002902755
AWTEventQueue.dispatchTimeAvgNs,1776554012040000000,1776554072043000000,397798.75415317103
FlushQueue.executionTime90PNs,1776554012040000000,1776554072043000000,268287
NonBlockingReadAction.finalizedExecutionsCount,1776554012040000000,1776554072043000000,73
AWTEventQueue.eventsDispatched,1776554012040000000,1776554072043000000,9571
FlushQueue.queueSize90P,1776554012040000000,1776554072043000000,71
NonBlockingReadAction.failedExecutionTimeUs,1776554012040000000,1776554072043000000,17575
NonBlockingReadAction.finalizedExecutionTimeUs,1776554012040000000,1776554072043000000,593573
AWTEventQueue.dispatchTime90PNs,1776554012040000000,1776554072043000000,241663
FlushQueue.waitingTime90PNs,1776554012040000000,1776554072043000000,146800639
NonBlockingReadAction.failedExecutionsCount,1776554012040000000,1776554072043000000,4
AWTEventQueue.dispatchTimeTotalNS,1776554012040000000,1776554072043000000,3807584806
FlushQueue.executionTimeMaxNs,1776554012040000000,1776554072043000000,191889407
FlushQueue.queueSizeAvg,1776554012040000000,1776554072043000000,18.2644412191582
FilePageCache.pageLoadsAboveSizeThreshold,1776554012040000000,1776554072043000000,0
StreamlinedBlobStorage.recordsRelocated,1776554012040000000,1776554072043000000,0
DirectByteBufferAllocator.hits,1776554012040000000,1776554072043000000,18
FilePageCache.disposedBuffers,1776554012040000000,1776554072043000000,18
DirectByteBufferAllocator.reclaimed,1776554012040000000,1776554072043000000,18
FilePageCache.uncachedFileAccess,1776554012040000000,1776554072043000000,164
DirectByteBufferAllocator.disposed,1776554012040000000,1776554072043000000,0
StreamlinedBlobStorage.recordsDeleted,1776554012040000000,1776554072043000000,0
StorageLockContext.competingThreads.max,1776554012040000000,1776554072043000000,0
StorageLockContext.competingThreads.avg,1776554012040000000,1776554072043000000,0.0
DirectByteBufferAllocator.misses,1776554012040000000,1776554072043000000,257
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776554012040000000,1776554072043000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776554012040000000,1776554072043000000,273719296
FilePageCache.capacityInBytes,1776554012040000000,1776554072043000000,524288000
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776554012040000000,1776554072043000000,101515
FilePageCache.pageLoads,1776554012040000000,1776554072043000000,275
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776554012040000000,1776554072043000000,364475
FilePageCache.totalPageLoadsUs,1776554012040000000,1776554072043000000,119363
FilePageCache.pageHits,1776554012040000000,1776554072043000000,0
FilePageCache.pageFastCacheHits,1776554012040000000,1776554072043000000,22206
FilePageCache.maxCacheSizeInBytes,1776554012040000000,1776554072043000000,273719296
FilePageCache.totalPageDisposalsUs,1776554012040000000,1776554072043000000,339
FilePageCache.maxRegisteredFiles,1776554012040000000,1776554072043000000,651
StreamlinedBlobStorage.recordsAllocated,1776554012040000000,1776554072043000000,5151
StorageLockContext.competingThreads.90P,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776554012040000000,1776554072043000000,3
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776554012040000000,1776554072043000000,0
jps.storage.jps.conf.reader.load.component.ms,1776554012040000000,1776554072043000000,4
workspaceModel.moduleBridge.facet.initialization.ms,1776554012040000000,1776554072043000000,0
jps.app.storage.content.reader.load.component.ms,1776554012040000000,1776554072043000000,0
jps.artifact.entities.serializer.load.entities.ms,1776554012040000000,1776554072043000000,0
workspaceModel.orphan.listener.update.ms,1776554012040000000,1776554072043000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776554012040000000,1776554072043000000,0
jps.reload.project.entities.ms,1776554012040000000,1776554072043000000,0
jps.facet.change.listener.before.change.events.ms,1776554012040000000,1776554072043000000,1
jps.global.handle.changed.events.ms,1776554012040000000,1776554072043000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776554012040000000,1776554072043000000,0
jps.module.iml.entities.serializer.load.entities.ms,1776554012040000000,1776554072043000000,4
workspaceModel.mutableEntityStorage.resolve.ms,1776554012040000000,1776554072043000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1776554012040000000,1776554072043000000,307
jps.project.serializers.load.ms,1776554012040000000,1776554072043000000,11
workspaceModel.delayed.project.synchronizer.sync.ms,1776554012040000000,1776554072043000000,46
jps.load.project.to.empty.storage.ms,1776554012040000000,1776554072043000000,38
workspaceModel.mutableEntityStorage.add.entity.ms,1776554012040000000,1776554072043000000,7
jps.facet.change.listener.process.change.events.ms,1776554012040000000,1776554072043000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776554012040000000,1776554072043000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776554012040000000,1776554072043000000,0
jps.save.changed.project.entities.ms,1776554012040000000,1776554072043000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776554012040000000,1776554072043000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776554012040000000,1776554072043000000,0
jps.global.initialize.library.bridges.ms,1776554012040000000,1776554072043000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776554012040000000,1776554072043000000,1
jps.module.iml.entities.serializer.save.entities.ms,1776554012040000000,1776554072043000000,0
jps.global.get.library.ms,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1776554012040000000,1776554072043000000,2
workspaceModel.global.updates.ms,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776554012040000000,1776554072043000000,6
workspaceModel.save.cache.to.file.ms,1776554012040000000,1776554072043000000,13
workspaceModel.moduleManagerBridge.load.module.ms,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776554012040000000,1776554072043000000,0
jps.load.initial.state.ms,1776554012040000000,1776554072043000000,4
workspaceModel.load.cache.from.file.ms,1776554012040000000,1776554072043000000,57
jps.global.get.library.by.name.ms,1776554012040000000,1776554072043000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776554012040000000,1776554072043000000,0
jps.apply.loaded.storage.ms,1776554012040000000,1776554072043000000,8
workspaceModel.mutableEntityStorage.entities.ms,1776554012040000000,1776554072043000000,0
jps.global.get.libraries.ms,1776554012040000000,1776554072043000000,0
jps.save.global.entities.ms,1776554012040000000,1776554072043000000,3
jps.library.entities.serializer.load.entities.ms,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776554012040000000,1776554072043000000,0
jps.artifact.entities.serializer.save.entities.ms,1776554012040000000,1776554072043000000,0
workspaceModel.moduleBridge.before.changed.ms,1776554012040000000,1776554072043000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776554012040000000,1776554072043000000,0
jps.library.entities.serializer.save.entities.ms,1776554012040000000,1776554072043000000,0
jps.global.handle.before.change.events.ms,1776554012040000000,1776554072043000000,0
workspaceModel.global.updates.count,1776554012040000000,1776554072043000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776554012040000000,1776554072043000000,0
workspaceModel.global.apply.state.to.project.ms,1776554012040000000,1776554072043000000,14
workspaceModel.mutableEntityStorage.put.entity.ms,1776554012040000000,1776554072043000000,2
workspaceModel.moduleBridge.update.option.ms,1776554012040000000,1776554072043000000,0
jps.project.serializers.save.ms,1776554012040000000,1776554072043000000,1
jps.app.storage.content.writer.save.component.ms,1776554012040000000,1776554072043000000,0
